"행정구역별(읍면동)","연령별",2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비
"대전광역시","15~19세",111778,58503,53275,109.8,107174,56028,51146,109.5,100929,53119,47810,111.1,95355,49889,45466,109.7,90628,47490,43138,110.1,83574,43616,39958,109.2
"대전광역시","20~24세",129333,69006,60327,114.4,130171,69372,60799,114.1,129500,68272,61228,111.5,127118,67257,59861,112.4,124362,65124,59238,109.9,123236,63832,59404,107.5
"대전광역시","25~29세",102960,55473,47487,116.8,104574,56827,47747,119.0,107541,58575,48966,119.6,109138,59465,49673,119.7,111165,60580,50585,119.8,113202,61378,51824,118.4
"대전광역시","30~34세",111896,57146,54750,104.4,106200,54786,51414,106.6,99955,51950,48005,108.2,95251,49924,45327,110.1,92983,49344,43639,113.1,92626,49509,43117,114.8
"대전광역시","35~39세",117076,58510,58566,99.9,117611,58980,58631,100.6,117258,58975,58283,101.2,115195,58223,56972,102.2,110133,55973,54160,103.3,103463,52723,50740,103.9
"대전광역시","40~44세",131185,65652,65533,100.2,124435,62183,62252,99.9,119963,59653,60310,98.9,114245,56910,57335,99.3,110297,54900,55397,99.1,109803,54504,55299,98.6
"대전광역시","45~49세",132439,66027,66412,99.4,136168,67626,68542,98.7,135868,67710,68158,99.3,132763,66216,66547,99.5,129472,64766,64706,100.1,125131,62357,62774,99.3
"대전광역시","50~54세",124062,62074,61988,100.1,118332,59524,58808,101.2,116530,58423,58107,100.5,119473,59413,60060,98.9,123737,61470,62267,98.7,124672,62086,62586,99.2
"대전광역시","55~59세",112837,56067,56770,98.8,119005,58831,60174,97.8,120940,59704,61236,97.5,120602,59583,61019,97.6,118422,58710,59712,98.3,115148,57176,57972,98.6
"대전광역시","60~64세",76905,37934,38971,97.3,84594,41679,42915,97.1,89692,44318,45374,97.7,95516,47003,48513,96.9,100048,49170,50878,96.6,104664,51199,53465,95.8
"대전광역시","65~69세",55685,27093,28592,94.8,57734,28014,29720,94.3,60862,29617,31245,94.8,62122,30195,31927,94.6,65580,31696,33884,93.5,71436,34483,36953,93.3
"대전광역시","70~74세",43903,19937,23966,83.2,43843,20176,23667,85.2,43445,20060,23385,85.8,45609,21292,24317,87.6,48045,22645,25400,89.2,51259,24107,27152,88.8
"대전광역시","75~79세",32246,13226,19020,69.5,33817,14061,19756,71.2,37257,15793,21464,73.6,38310,16295,22015,74.0,38878,16678,22200,75.1,39473,17127,22346,76.6
"대전광역시","80~84세",19557,6750,12807,52.7,21609,7501,14108,53.2,22715,8174,14541,56.2,24513,9024,15489,58.3,26176,9803,16373,59.9,26903,10185,16718,60.9
"대전광역시","85~89세",9110,2511,6599,38.1,10019,2719,7300,37.2,10780,3012,7768,38.8,11644,3371,8273,40.7,12719,3790,8929,42.4,14007,4296,9711,44.2
"대전광역시","90~94세",3097,708,2389,29.6,3337,770,2567,30.0,3631,851,2780,30.6,3982,962,3020,31.9,4378,1019,3359,30.3,4921,1149,3772,30.5
"대전광역시","95~99세",609,143,466,30.7,701,159,542,29.3,797,169,628,26.9,930,185,745,24.8,997,194,803,24.2,1019,176,843,20.9
"대전광역시","평균연령",38.6,37.5,39.6,-,39.1,38.0,40.2,-,39.6,38.6,40.7,-,40.2,39.1,41.3,-,40.8,39.7,41.9,-,41.4,40.3,42.5,-
"대전광역시","중위연령",38.8,37.5,40.0,-,39.4,38.0,40.7,-,40.0,38.6,41.3,-,40.7,39.2,42.1,-,41.3,39.9,42.8,-,42.0,40.6,43.4,-
"울산광역시","합계",1166615,606924,559691,108.4,1166033,605618,560415,108.1,1157077,600093,556984,107.7,1150116,595795,554321,107.5,1143692,591965,551727,107.3,1135423,585978,549445,106.6
"울산광역시","0~4세",59157,30399,28758,105.7,58236,29866,28370,105.3,54853,28223,26630,106.0,51327,26424,24903,106.1,47359,24435,22924,106.6,42442,21750,20692,105.1
"울산광역시","5~9세",56490,29405,27085,108.6,57741,30044,27697,108.5,57688,29930,27758,107.8,57107,29557,27550,107.3,57292,29532,27760,106.4,56827,29269,27558,106.2
"울산광역시","10~14세",58494,30946,27548,112.3,55159,29030,26129,111.1,54576,28766,25810,111.5,54425,28504,25921,110.0,54052,28178,25874,108.9,55024,28642,26382,108.6
"울산광역시","15~19세",77393,42198,35195,119.9,73137,39835,33302,119.6,67585,36583,31002,118.0,63055,34433,28622,120.3,58614,31852,26762,119.0,54045,29197,24848,117.5
"울산광역시","20~24세",79289,46427,32862,141.3,78196,46055,32141,143.3,75679,44291,31388,141.1,73066,42595,30471,139.8,70145,40951,29194,140.3,67960,39258,28702,136.8
"울산광역시","25~29세",75299,42924,32375,132.6,76427,43427,33000,131.6,76201,43260,32941,131.3,76961,43594,33367,130.7,76543,43548,32995,132.0,75712,42971,32741,131.2
"울산광역시","30~34세",91323,49294,42029,117.3,85927,46315,39612,116.9,79461,42926,36535,117.5,74711,40707,34004,119.7,72465,39810,32655,121.9,70942,39071,31871,122.6
"울산광역시","35~39세",93835,49651,44184,112.4,96413,51058,45355,112.6,97287,51408,45879,112.1,96923,50903,46020,110.6,93355,49032,44323,110.6,86575,45468,41107,110.6
"울산광역시","40~44세",101733,51327,50406,101.8,95932,48662,47270,102.9,92872,47481,45391,104.6,89675,46287,43388,106.7,88494,46001,42493,108.3,90201,46999,43202,108.8
