"행정구역별(읍면동)","연령별",2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
"행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비
"울산광역시","20~24세",62607,36277,26330,137.8,56591,32929,23662,139.2,52179,30751,21428,143.5
"울산광역시","25~29세",74109,42469,31640,134.2,71995,41431,30564,135.6,70532,41019,29513,139.0
"울산광역시","30~34세",69957,38538,31419,122.7,70718,39353,31365,125.5,72836,41254,31582,130.6
"울산광역시","35~39세",80244,42084,38160,110.3,74606,39559,35047,112.9,71357,38644,32713,118.1
"울산광역시","40~44세",91723,47870,43853,109.2,92553,48183,44370,108.6,92922,48464,44458,109.0
"울산광역시","45~49세",92115,46281,45834,101.0,89379,45295,44084,102.7,86753,44518,42235,105.4
"울산광역시","50~54세",106836,52747,54089,97.5,105043,51982,53061,98.0,102249,50738,51511,98.5
"울산광역시","55~59세",100277,52104,48173,108.2,100257,51488,48769,105.6,102135,51857,50278,103.1
"울산광역시","60~64세",92550,46838,45712,102.5,95241,48382,46859,103.3,97533,49697,47836,103.9
"울산광역시","65~69세",61337,30531,30806,99.1,65839,32687,33152,98.6,71083,35263,35820,98.4
"울산광역시","70~74세",38229,18903,19326,97.8,41386,20423,20963,97.4,43774,21494,22280,96.5
"울산광역시","75~79세",24052,10775,13277,81.2,24925,11420,13505,84.6,26883,12555,14328,87.6
"울산광역시","80~84세",15923,5852,10071,58.1,17738,6762,10976,61.6,18983,7441,11542,64.5
"울산광역시","85~89세",8006,2166,5840,37.1,8435,2350,6085,38.6,8964,2552,6412,39.8
"울산광역시","90~94세",2591,470,2121,22.2,2750,524,2226,23.5,3006,614,2392,25.7
"울산광역시","95~99세",566,71,495,14.3,581,73,508,14.4,629,77,552,13.9
"울산광역시","평균연령",42.2,41.2,43.3,-,42.9,41.9,44.1,-,43.6,42.5,44.8,-
"울산광역시","중위연령",44.0,42.5,45.6,-,44.8,43.3,46.4,-,45.5,44.0,47.3,-
