"울산광역시","B.광업(05~08)","전규모",14,273,253,20,14,259,243,16,14,141,125,16
"울산광역시","C.제조업(10~34)","전규모",5072,167519,147550,19969,5388,169954,149297,20657,5152,165874,145685,20189
"울산광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","전규모",38,2479,2136,343,38,2661,2299,362,45,2583,2183,400
"울산광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전규모",196,2192,1769,423,213,2472,2017,455,215,2331,1894,437
"울산광역시","F.건설업(41~42)","전규모",2209,29752,25732,4020,2392,32260,27799,4461,2690,37671,32651,5020
"울산광역시","G.도매 및 소매업(45~47)","전규모",7527,34008,17551,16457,7699,34779,17710,17069,7586,33795,17119,16676
"울산광역시","H.운수 및 창고업(49~52)","전규모",1131,18012,15819,2193,1133,18431,16414,2017,1170,18705,16574,2131
"울산광역시","I.숙박 및 음식점업(55~56)","전규모",6357,27267,8369,18898,6757,30164,9383,20781,7034,31869,9889,21980
"울산광역시","J.정보통신업(58~63)","전규모",313,3320,2408,912,388,3482,2424,1058,391,3412,2369,1043
"울산광역시","K.금융 및 보험업(64~66)","전규모",763,12874,4045,8829,784,12691,4101,8590,789,11841,3714,8127
"울산광역시","L.부동산업(68)","전규모",1574,7628,4690,2938,1651,7360,4463,2897,1522,7491,4508,2983
"울산광역시","M.전문, 과학 및 기술 서비스업(70~73)","전규모",1487,17245,11995,5250,1627,18445,12775,5670,1663,18714,12931,5783
"울산광역시","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전규모",1008,18583,12279,6304,1084,18471,12234,6237,1109,19489,12507,6982
"울산광역시","P.교육 서비스업(85)","전규모",2049,15808,6105,9703,2100,16432,6241,10191,2028,16702,6069,10633
"울산광역시","Q.보건업 및 사회복지 서비스업(86~87)","전규모",2788,41068,6659,34409,2916,43475,7040,36435,2935,45890,6949,38941
"울산광역시","R.예술, 스포츠 및 여가관련 서비스업(90~91)","전규모",776,3853,1909,1944,866,4385,2067,2318,884,4339,2104,2235
"울산광역시","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","전규모",2592,9340,5282,4058,2726,9513,5343,4170,2820,9578,5372,4206
